City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Sitka,US,57.0531,-135.33,55.26,73,100,5.84,overcast clouds
79,Akyab,MM,20.15,92.9,80.08,83,100,5.61,light rain
80,Port Alfred,ZA,-33.5906,26.891,62.06,72,100,13.27,overcast clouds
81,Taltal,CL,-25.4,-70.4833,61.2,77,94,4.21,overcast clouds
82,Esperance,AU,-33.8667,121.9,55.0,72,42,23.26,scattered clouds
83,Sovetskiy,RU,61.3614,63.5842,61.92,86,100,2.71,light rain
84,Hambantota,LK,6.1241,81.1185,79.14,100,40,3.44,scattered clouds
85,Sinnamary,GF,5.3833,-52.95,81.66,76,27,8.9,scattered clouds
86,Thompson,CA,55.7435,-97.8558,78.42,21,100,15.19,overcast clouds
87,Baykit,RU,61.67,96.37,54.37,96,79,2.62,broken clouds
88,Alice Springs,AU,-23.7,133.8833,53.15,54,100,5.75,overcast clouds
89,Guiyang,CN,26.5833,106.7167,70.29,100,100,4.47,mist
90,Mehamn,NO,71.0357,27.8492,42.75,87,100,11.5,overcast clouds
91,Coquimbo,CL,-29.9533,-71.3436,61.27,60,31,3.91,scattered clouds
92,College,US,64.8569,-147.8028,69.48,58,64,1.01,broken clouds
93,San Patricio,US,28.017,-97.5169,91.49,40,7,16.91,clear sky
94,Guerrero Negro,MX,27.9769,-114.0611,73.09,57,0,13.53,clear sky
95,Ribeira Grande,PT,38.5167,-28.7,70.2,78,40,13.8,scattered clouds
96,Souillac,MU,-20.5167,57.5167,71.56,83,15,4.03,few clouds
97,Saint Anthony,US,45.0205,-93.218,82.63,43,20,21.85,few clouds
98,Mahebourg,MU,-20.4081,57.7,69.26,79,13,4.63,few clouds
99,Ulety,RU,51.3572,112.4849,61.48,86,100,4.52,moderate rain
100,Yarada,IN,17.65,83.2667,84.69,80,100,13.2,overcast clouds
101,Turinsk,RU,58.0458,63.696,59.81,95,100,2.77,light rain
102,Tigil,RU,57.8,158.6667,45.64,89,100,6.87,overcast clouds
103,Jining,CN,35.405,116.5814,83.84,45,0,5.1,clear sky
104,Quirinopolis,BR,-18.4483,-50.4517,75.52,59,100,3.2,overcast clouds
105,Talcahuano,CL,-36.7167,-73.1167,51.44,62,100,5.14,overcast clouds
106,Indaial,BR,-26.8978,-49.2317,66.94,57,0,3.94,clear sky
107,Jumla,NP,29.2747,82.1838,60.87,83,100,1.81,overcast clouds
108,Meulaboh,ID,4.1363,96.1285,74.44,90,95,3.78,overcast clouds
109,Ternovskaya,RU,45.8542,40.4086,68.34,52,19,1.81,few clouds
110,Jacareacanga,BR,-6.2222,-57.7528,83.19,65,100,1.23,overcast clouds
111,Mar Del Plata,AR,-38.0023,-57.5575,56.08,45,100,5.01,overcast clouds
112,Vardo,NO,70.3705,31.1107,40.98,87,100,5.75,light intensity drizzle
113,Griffith,US,41.5284,-87.4237,77.31,46,0,10.36,clear sky
114,La Asuncion,VE,11.0333,-63.8628,87.53,58,30,17.27,scattered clouds
115,Namatanai,PG,-3.6667,152.4333,77.88,81,10,5.06,clear sky
116,Puerto Ayora,EC,-0.7393,-90.3518,73.54,87,100,5.99,overcast clouds
117,Marathon,US,44.9,-89.7668,72.93,32,0,5.75,clear sky
118,Lompoc,US,34.6391,-120.4579,78.69,61,0,18.99,clear sky
119,Launceston,AU,-41.45,147.1667,42.44,100,49,8.05,scattered clouds
120,Port Hedland,AU,-20.3167,118.5667,66.25,82,75,0.0,light rain
121,Victor Harbor,AU,-35.5667,138.6167,52.68,62,100,11.34,moderate rain
122,Ziro,IN,27.6333,93.8333,57.43,100,100,0.6,overcast clouds
123,Aquiraz,BR,-3.9014,-38.3911,82.18,72,90,8.66,overcast clouds
124,Marienburg,PL,54.0359,19.0266,71.58,78,7,6.29,clear sky
125,Geraldton,AU,-28.7667,114.6,63.01,72,40,13.8,scattered clouds
126,Belle Fourche,US,44.6714,-103.8522,95.5,23,100,16.87,overcast clouds
127,Velsk,RU,61.0701,42.0983,50.31,91,100,3.42,overcast clouds
128,Sisimiut,GL,66.9395,-53.6735,36.0,80,69,4.43,broken clouds
129,Butaritari,KI,3.0707,172.7902,80.98,79,27,12.21,light rain
130,Norman Wells,CA,65.282,-126.8329,74.97,32,100,8.14,overcast clouds
131,Kapit,MY,2.0167,112.9333,71.98,99,51,0.87,broken clouds
132,Amazar,RU,53.858,120.875,56.53,71,100,1.5,overcast clouds
133,Jamestown,US,42.097,-79.2353,65.05,43,3,8.01,clear sky
134,Kanye,BW,-24.9667,25.3327,53.4,34,0,5.14,clear sky
135,Severo-Kurilsk,RU,50.6789,156.125,46.92,97,100,2.42,light rain
136,Longyearbyen,SJ,78.2186,15.6401,40.84,81,75,14.97,broken clouds
137,Qaqortoq,GL,60.7167,-46.0333,47.5,69,100,6.51,overcast clouds
138,Ponta Do Sol,PT,32.6667,-17.1,76.01,79,14,6.29,few clouds
139,Cherskiy,RU,68.75,161.3,41.22,74,86,4.76,overcast clouds
140,Pangkalanbuun,ID,-2.6833,111.6167,71.89,98,43,1.45,light rain
141,Catamarca,AR,-28.4696,-65.7852,71.58,27,55,7.0,broken clouds
142,Bonthe,SL,7.5264,-12.505,78.42,80,100,11.99,light rain
143,Waitati,NZ,-45.75,170.5667,45.81,75,100,8.41,overcast clouds
144,Magaria,NE,12.9983,8.9099,89.85,36,99,4.88,overcast clouds
145,Kolondieba,ML,11.0882,-6.8926,78.44,65,69,6.26,broken clouds
146,Shakawe,BW,-18.3667,21.85,61.02,36,0,4.45,clear sky
147,Tiarei,PF,-17.5333,-149.3333,80.62,78,14,18.54,light rain
148,Skagen,DK,57.7209,10.5839,55.89,68,92,29.48,overcast clouds
149,Codrington,AU,-38.2667,141.9667,43.48,92,22,9.62,few clouds
150,Pryazha,RU,61.6926,33.6216,50.47,80,100,4.81,overcast clouds
151,Newport,GB,51.5877,-2.9984,53.51,87,100,10.63,moderate rain
152,Airai,TL,-8.9266,125.4092,58.71,93,85,3.71,overcast clouds
153,Tilichiki,RU,60.4667,166.1,43.83,93,100,1.7,overcast clouds
154,Burgeo,CA,47.6167,-57.6152,52.92,98,100,15.59,overcast clouds
155,Lamesa,US,32.7376,-101.951,91.53,30,0,14.34,clear sky
156,Tiksi,RU,71.6872,128.8694,47.28,99,100,2.75,moderate rain
157,Blairmore,CA,49.6,-114.4353,65.52,38,2,7.63,clear sky
158,Tateyama,JP,34.9833,139.8667,69.73,88,75,2.3,mist
159,Kerteminde,DK,55.449,10.6577,61.54,76,98,12.55,overcast clouds
160,Viedma,AR,-40.8135,-62.9967,53.78,35,43,15.1,scattered clouds
161,Upernavik,GL,72.7868,-56.1549,33.42,92,99,25.23,overcast clouds
162,Khorixas,NA,-20.3667,14.9667,59.56,55,0,6.6,clear sky
163,Hay River,CA,60.8156,-115.7999,55.94,69,100,9.46,overcast clouds
164,Urucara,BR,-2.5364,-57.76,90.45,46,50,4.88,scattered clouds
165,Kutum,SD,14.2,24.6667,87.58,18,49,11.72,scattered clouds
166,Verkhoyansk,RU,67.5447,133.385,60.01,51,100,6.44,overcast clouds
167,Mandurah,AU,-32.55,115.7,60.91,73,71,22.24,broken clouds
168,Leningradskiy,RU,69.3833,178.4167,38.84,76,83,7.58,broken clouds
169,Meybod,IR,32.2501,54.0166,93.22,14,0,0.49,clear sky
170,Mount Gambier,AU,-37.8333,140.7667,43.84,87,100,8.16,overcast clouds
171,Nova Olimpia,BR,-14.7972,-57.2881,81.27,58,80,4.9,broken clouds
172,Palmer,US,42.1584,-72.3287,65.25,58,100,19.57,overcast clouds
173,Riyadh,SA,24.6877,46.7219,100.54,7,0,2.89,clear sky
174,Zhumadian,CN,32.9794,114.0294,79.36,64,100,3.67,overcast clouds
175,Vagur,FO,61.4732,-6.8119,47.03,87,28,34.61,scattered clouds
176,Tongchuan,CN,35.0806,109.0897,74.32,62,99,3.36,overcast clouds
177,The Valley,AI,18.217,-63.0578,87.66,58,20,11.5,few clouds
178,Adre,TD,13.4667,22.2,88.16,30,100,7.99,overcast clouds
179,Waddan,LY,29.1614,16.139,84.81,22,0,8.59,clear sky
180,Inirida,CO,3.8653,-67.9239,79.95,79,100,2.57,overcast clouds
181,New Norfolk,AU,-42.7826,147.0587,47.91,87,97,1.21,overcast clouds
182,Cheremukhovo,RU,60.3484,59.9851,56.55,90,100,2.91,overcast clouds
183,Yatou,CN,37.15,122.3833,68.4,95,44,6.17,scattered clouds
184,Samarai,PG,-10.6167,150.6667,80.22,80,36,4.5,scattered clouds
185,Los Llanos De Aridane,ES,28.6585,-17.9182,71.13,79,20,19.57,few clouds
186,Seropedica,BR,-22.7439,-43.7075,72.99,87,99,9.1,overcast clouds
187,Mayna,RU,54.1135,47.6231,56.34,90,100,5.75,overcast clouds
188,Hasaki,JP,35.7333,140.8333,66.6,93,100,9.73,overcast clouds
189,Minuri,PH,16.535,121.8574,74.16,90,61,2.04,broken clouds
190,Warrington,GB,53.3925,-2.5802,57.31,68,20,9.22,few clouds
191,Ada,US,43.4166,-116.1262,69.13,42,0,11.01,clear sky
192,Mwingi,KE,-0.9344,38.0601,67.6,68,58,11.23,broken clouds
193,Chara,RU,56.9064,118.2631,55.13,58,3,1.12,clear sky
194,Sibu,MY,2.3,111.8167,71.29,96,95,1.1,overcast clouds
195,Barguzin,RU,53.6167,109.6167,53.82,94,88,5.21,overcast clouds
196,Pishin,PK,30.5803,66.9961,77.85,27,0,5.39,clear sky
197,Caravelas,BR,-17.7125,-39.2481,76.8,66,0,8.52,clear sky
198,Twentynine Palms,US,34.1356,-116.0542,85.06,9,0,3.0,clear sky
199,Makakilo City,US,21.3469,-158.0858,82.72,60,0,18.41,clear sky
